Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned
0,Acer,4,IPS Panel,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Low
1,Dell,3,Full HD,1,1,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,634,Low
2,Dell,3,Full HD,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,946,Low
3,Dell,4,IPS Panel,2,1,5,13.299212598425196,0.5517241379310345,8,128,2.6901,1244,Low
4,HP,4,Full HD,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.21155,837,Low
5,Dell,3,Full HD,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1016,Low
6,HP,3,Full HD,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.6305000000000005,1117,Low
7,Acer,3,IPS Panel,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Low
8,Dell,3,Full HD,1,1,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,812,Low
9,Acer,3,IPS Panel,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Low
10,Dell,3,Full HD,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.69665,975,Low
11,HP,3,Full HD,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.21155,558,Low
12,Asus,3,Full HD,2,2,3,15.598425196850393,0.6896551724137931,4,256,4.41,527,Low
13,Dell,4,Full HD,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Low
14,Asus,3,Full HD,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Low
15,HP,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1013,876,Low
16,Dell,4,IPS Panel,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Low
17,Dell,3,Full HD,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1105,Low
18,Dell,4,IPS Panel,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Low
19,HP,3,Full HD,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Low
20,HP,4,IPS Panel,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,Low
21,HP,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.3218,761,Low
22,Dell,4,IPS Panel,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,Medium
23,Dell,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.84325,1518,Low
24,Asus,4,Full HD,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,Low
25,Dell,3,Full HD,1,2,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,616,Low
26,Asus,3,Full HD,3,1,3,15.598425196850393,0.8275862068965517,6,256,4.41,733,Low
27,HP,3,Full HD,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.21155,913,Low
28,HP,4,IPS Panel,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,Low
29,HP,3,IPS Panel,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,Low
30,Asus,4,IPS Panel,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,Low
31,Lenovo,3,IPS Panel,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,Medium
32,Dell,4,IPS Panel,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,Medium
33,Asus,3,Full HD,3,1,7,15.598425196850393,0.6206896551724138,8,256,3.7485,1420,Low
34,HP,3,Full HD,2,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1179,Low
35,Acer,4,IPS Panel,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,Low
36,Acer,3,Full HD,3,1,3,15.598425196850393,0.9310344827586208,4,256,4.851000000000001,727,Low
37,HP,3,Full HD,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,Low
38,HP,3,IPS Panel,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,Low
39,Lenovo,3,IPS Panel,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,Low
40,Asus,4,Full HD,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,Low
41,HP,4,Full HD,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,Low
42,HP,3,Full HD,1,1,5,15.598425196850393,0.5517241379310345,6,256,4.21155,786,Low
43,Acer,3,IPS Panel,3,1,5,17.0,0.5517241379310345,4,256,6.615,1023,Low
44,Dell,3,Full HD,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.69665,925,Low
45,Lenovo,1,IPS Panel,3,1,7,15.0,0.9655172413793103,16,256,5.5125,1371,Low
46,Acer,3,IPS Panel,3,1,5,17.0,0.5517241379310345,8,256,6.615,1085,Low
47,Huawei,4,IPS Panel,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,1714,Medium
48,HP,3,Full HD,3,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1172,Low
49,Dell,4,Full HD,2,1,5,13.299212598425196,0.5517241379310345,8,256,4.106221030042918,1777,Medium
50,Acer,4,IPS Panel,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4696000000000002,1256,Low
51,HP,3,Full HD,3,1,7,17.299212598425196,0.6206896551724138,8,256,5.5125,1327,Low
52,Dell,4,Full HD,2,1,7,13.299212598425196,0.6206896551724138,8,256,2.646,1841,Medium
53,Dell,4,IPS Panel,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1184,Low
54,HP,3,Full HD,3,1,7,14.0,0.6206896551724138,8,256,3.59415,1310,Low
55,Dell,4,Full HD,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,1460,Low
56,Dell,3,Full HD,1,2,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,860,Low
57,Toshiba,4,Full HD,2,1,7,13.299212598425196,0.8620689655172414,8,256,2.646,1731,Medium
58,Acer,3,Full HD,3,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,1057,Low
59,Asus,3,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.41,977,Low
60,Dell,3,Full HD,2,1,5,14.0,0.8620689655172414,8,256,3.5280000000000005,1091,Low
61,Dell,3,Full HD,1,2,7,15.598425196850393,0.9310344827586208,16,256,4.106221030042918,1142,Low
62,Acer,1,IPS Panel,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1075,Low
63,Dell,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.6448,1117,Low
64,Asus,1,Full HD,3,1,7,17.299212598425196,1.0,16,256,7.938000000000001,3810,High
65,Acer,3,IPS Panel,3,1,3,17.0,0.9310344827586208,4,256,6.615,892,Low
66,Dell,4,Full HD,2,1,5,13.299212598425196,0.5517241379310345,8,256,3.10905,1206,Low
67,Lenovo,3,Full HD,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.52025,1118,Low
68,Dell,3,Full HD,1,2,7,15.598425196850393,0.6206896551724138,8,256,4.106221030042918,934,Low
69,Lenovo,1,IPS Panel,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1053,Low
70,Lenovo,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,6,256,4.851000000000001,735,Low
71,Acer,3,IPS Panel,3,1,7,15.0,0.6206896551724138,8,256,6.615,1208,Low
72,Lenovo,3,IPS Panel,2,1,7,15.0,0.9310344827586208,8,256,4.29975,1394,Low
73,Asus,4,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,3.7485,1241,Low
74,Dell,3,Full HD,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.41,2323,Medium
75,Lenovo,3,Full HD,2,1,5,15.598425196850393,0.5517241379310345,8,256,4.52025,939,Low
76,Acer,3,Full HD,3,2,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1244,Low
77,Dell,5,Full HD,3,1,7,17.299212598425196,1.0,16,256,7.5411,3665,High
78,Toshiba,3,IPS Panel,3,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1325,Low
79,Lenovo,3,IPS Panel,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.4255000000000004,1269,Low
80,HP,3,Full HD,2,1,5,14.0,0.8620689655172414,8,256,4.29975,1245,Low
81,HP,3,Full HD,2,1,7,14.0,0.9310344827586208,8,256,3.2634,1641,Medium
82,Asus,3,Full HD,2,1,7,14.0,0.9310344827586208,8,256,4.41,1390,Low
83,Asus,4,Full HD,3,1,7,15.598425196850393,0.9310344827586208,8,256,3.7485,1334,Low
84,HP,4,Full HD,2,1,7,12.5,0.9310344827586208,8,256,2.7783,1696,Medium
85,Toshiba,3,IPS Panel,2,1,5,15.0,0.8620689655172414,8,256,4.41,1198,Low
86,Asus,1,Full HD,3,1,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1269,Low
87,HP,3,Full HD,2,1,5,14.0,0.896551724137931,8,256,3.2634,1611,Low
88,HP,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.0572,1453,Low
89,Dell,3,Full HD,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.41,1452,Low
90,Dell,4,Full HD,2,1,7,13.299212598425196,0.6206896551724138,8,256,2.646,2006,Medium
91,HP,3,Full HD,2,1,7,15.598425196850393,0.9310344827586208,8,256,4.0572,1656,Medium
92,HP,5,Full HD,3,1,7,15.598425196850393,0.9655172413793103,8,256,5.7330000000000005,2208,Medium
93,Dell,3,Full HD,2,1,5,14.0,0.896551724137931,8,256,2.9988,1813,Medium
94,Asus,3,Full HD,2,1,5,14.0,0.8620689655172414,8,256,4.41,1200,Low
95,Dell,3,Full HD,1,1,7,15.598425196850393,0.9310344827586208,8,256,5.137650000000001,1142,Low
96,HP,4,IPS Panel,2,1,7,14.0,0.9310344827586208,8,256,2.9988,2223,Medium
97,Lenovo,3,IPS Panel,3,1,5,14.0,0.8620689655172414,8,256,3.3075,1396,Low
98,Lenovo,3,IPS Panel,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.3075,697,Low
99,Dell,5,IPS Panel,3,1,7,15.0,0.9310344827586208,8,256,4.41,2712,Medium
100,MSI,1,Full HD,3,1,7,17.299212598425196,0.9655172413793103,8,256,5.953500000000001,1714,Medium
101,Dell,3,Full HD,1,2,7,15.598425196850393,0.9310344827586208,8,256,5.137650000000001,989,Low
102,Lenovo,3,IPS Panel,1,1,7,15.0,0.6206896551724138,8,256,4.6305000000000005,1562,Low
103,Lenovo,3,IPS Panel,2,1,5,14.0,0.8620689655172414,8,256,4.1895,1192,Low
104,Acer,3,Full HD,3,2,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1117,Low
105,Dell,3,Full HD,1,2,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,761,Low
106,HP,4,Full HD,2,1,7,14.0,0.8620689655172414,8,256,3.15315,1905,Medium
107,Lenovo,4,IPS Panel,1,1,7,14.0,0.6206896551724138,8,256,3.85875,1544,Low
108,HP,3,Full HD,2,1,7,15.598425196850393,1.0,8,256,5.0935500000000005,1813,Medium
109,Dell,4,Full HD,2,2,7,14.0,0.9655172413793103,8,256,3.5280000000000005,1396,Low
110,Lenovo,3,IPS Panel,2,1,7,13.000000000000002,0.9310344827586208,8,256,3.0869999999999997,1283,Low
111,Lenovo,3,IPS Panel,2,1,3,14.0,0.9310344827586208,4,128,3.7485,761,Low
112,Asus,3,Full HD,2,2,5,15.598425196850393,0.8620689655172414,4,256,4.41,710,Low
113,Dell,3,Full HD,1,1,5,15.598425196850393,0.5517241379310345,4,256,4.851000000000001,951,Low
114,Lenovo,4,IPS Panel,2,1,5,12.0,0.8620689655172414,8,256,2.9988,1815,Medium
115,Dell,3,Full HD,3,1,5,14.0,0.9655172413793103,8,256,3.6162,1498,Low
116,MSI,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.851000000000001,1306,Low
117,Dell,5,IPS Panel,3,1,7,15.0,0.9310344827586208,16,256,4.78485,2509,Medium
118,Lenovo,3,Full HD,2,1,5,14.0,0.8620689655172414,8,256,3.6382499999999998,1709,Medium
119,Lenovo,3,Full HD,3,1,7,15.598425196850393,1.0,8,256,5.88735,2655,Medium
120,Dell,4,Full HD,2,1,5,,0.5517241379310345,8,256,3.1311,2340,Medium
121,Dell,5,Full HD,3,1,7,15.598425196850393,0.9655172413793103,8,256,3.9249,3059,High
122,Toshiba,3,IPS Panel,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,2124,Medium
123,HP,3,IPS Panel,2,1,5,13.000000000000002,0.5517241379310345,4,128,3.28545,922,Low
124,Lenovo,3,IPS Panel,2,1,5,14.0,0.5517241379310345,8,256,3.85875,1333,Low
125,Lenovo,3,IPS Panel,3,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1286,Low
126,Lenovo,3,Full HD,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.78485,1142,Low
127,Lenovo,3,IPS Panel,2,1,3,13.000000000000002,0.8275862068965517,8,256,3.0869999999999997,1206,Low
128,Lenovo,3,IPS Panel,2,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1157,Low
129,Lenovo,3,Full HD,2,1,5,13.299212598425196,0.8620689655172414,8,256,3.1752,1206,Low
130,Dell,4,IPS Panel,2,1,5,13.299212598425196,0.8620689655172414,8,128,2.84445,1142,Low
131,HP,3,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.498200000000001,1129,Low
132,HP,4,IPS Panel,2,1,7,13.000000000000002,0.9310344827586208,8,256,2.9106,1777,Medium
133,Dell,3,Full HD,2,1,5,14.0,0.896551724137931,8,256,3.6162,1626,Medium
134,Lenovo,3,Full HD,2,1,5,14.0,0.793103448275862,8,256,4.4541,1702,Medium
135,Dell,3,Full HD,2,1,5,15.598425196850393,0.9655172413793103,8,256,4.1895,1749,Medium
136,Dell,3,Full HD,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.25565,1739,Medium
137,Dell,3,Full HD,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1013,Low
138,Lenovo,3,IPS Panel,3,1,7,14.0,0.9310344827586208,8,256,4.12335,1091,Low
139,Dell,3,Full HD,2,1,3,14.0,0.6896551724137931,4,128,3.5280000000000005,935,Low
140,HP,3,Full HD,2,1,3,15.598425196850393,0.8275862068965517,4,128,4.6305000000000005,896,Low
141,Lenovo,3,Full HD,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.851000000000001,634,Low
142,Dell,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1895,1419,Low
143,Lenovo,3,Full HD,2,1,3,15.598425196850393,0.9310344827586208,4,128,4.52025,800,Low
144,Lenovo,3,IPS Panel,3,1,7,17.0,0.9655172413793103,8,256,7.497,3810,High
145,Lenovo,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,5.0714999999999995,1054,Low
146,Dell,3,Full HD,1,2,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,951,Low
147,HP,3,Full HD,2,1,3,13.299212598425196,0.8275862068965517,4,128,3.28545,913,Low
148,Dell,3,Full HD,3,1,7,15.598425196850393,0.9655172413793103,16,256,4.25565,1953,Medium
149,Lenovo,4,IPS Panel,2,1,7,14.0,0.896551724137931,12,256,3.0869999999999997,2125,Medium
150,Lenovo,3,IPS Panel,2,1,5,14.0,0.8620689655172414,8,256,3.7485,1872,Medium
151,Dell,5,Full HD,3,1,7,,0.9655172413793103,8,256,4.5423,2240,Medium
152,HP,3,Full HD,2,1,7,15.598425196850393,0.9310344827586208,8,256,4.0572,1548,Low
153,Toshiba,3,IPS Panel,2,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1777,Medium
154,Dell,3,Full HD,1,2,5,15.598425196850393,0.8620689655172414,4,128,4.806900000000001,723,Low
155,Lenovo,3,Full HD,2,1,5,14.0,0.793103448275862,8,256,3.6382499999999998,1861,Medium
156,Dell,3,Full HD,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.41,2312,Medium
157,Lenovo,3,Full HD,2,1,5,15.598425196850393,0.5517241379310345,4,256,3.9690000000000003,1053,Low
158,Acer,4,IPS Panel,2,1,5,14.0,0.8620689655172414,8,256,3.9690000000000003,1167,Low
159,Razer,1,Full HD,3,1,7,14.0,0.9655172413793103,16,256,4.29975,3301,High
160,Toshiba,3,Full HD,2,1,5,13.299212598425196,0.793103448275862,8,256,2.646,1541,Low
161,Lenovo,4,IPS Panel,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2012,Medium
162,Dell,4,Full HD,2,1,5,13.299212598425196,0.5517241379310345,8,256,2.646,1842,Medium
163,Dell,3,Full HD,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1167,Low
164,Dell,3,Full HD,2,1,5,14.0,0.8275862068965517,8,256,3.4398000000000004,1561,Low
165,Toshiba,3,IPS Panel,2,1,5,15.0,0.8620689655172414,8,256,4.41,1598,Low
166,Asus,4,Full HD,2,1,5,14.0,0.8620689655172414,8,256,2.4255000000000004,1442,Low
167,Acer,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,16,256,5.5125,1650,Medium
168,MSI,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.851000000000001,1268,Low
169,HP,3,IPS Panel,1,1,3,17.0,0.6896551724137931,4,256,5.5125,888,Low
170,Lenovo,3,Full HD,2,1,5,14.0,0.8620689655172414,4,256,3.7485,888,Low
171,Toshiba,3,IPS Panel,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.3075,1236,Low
172,Dell,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.806900000000001,1010,Low
173,Lenovo,3,Full HD,2,1,5,14.0,0.793103448275862,8,256,3.9690000000000003,1513,Low
174,Dell,3,Full HD,3,2,5,14.0,0.9655172413793103,8,256,3.6162,1383,Low
175,Lenovo,3,IPS Panel,3,1,5,14.0,0.8620689655172414,8,256,4.12335,1089,Low
176,Dell,3,Full HD,2,1,5,15.598425196850393,0.896551724137931,8,256,4.1895,1498,Low
177,HP,3,Full HD,3,1,7,17.299212598425196,0.9310344827586208,8,256,5.79915,1524,Low
178,Lenovo,4,IPS Panel,2,1,5,14.0,0.8620689655172414,8,256,2.9106,1904,Medium
179,Lenovo,3,IPS Panel,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.1752,1219,Low
180,HP,5,Full HD,3,1,7,15.598425196850393,0.9655172413793103,16,256,5.7330000000000005,3073,High
181,Toshiba,3,IPS Panel,2,1,5,14.0,0.8620689655172414,8,256,2.75625,1950,Medium
182,Samsung,4,Full HD,2,1,7,13.299212598425196,0.9310344827586208,16,256,1.7860500000000001,2095,Medium
183,HP,3,Full HD,2,1,3,15.598425196850393,0.6896551724137931,8,256,4.1013,685,Low
184,HP,3,Full HD,2,1,5,15.598425196850393,0.8275862068965517,8,256,4.0572,2414,Medium
185,HP,5,Full HD,3,1,7,15.598425196850393,0.896551724137931,8,256,5.7109499999999995,1983,Medium
186,Dell,4,Full HD,2,1,7,12.5,0.9655172413793103,16,256,2.6019,2361,Medium
187,Samsung,4,Full HD,2,1,7,,0.9310344827586208,8,256,2.8885500000000004,2031,Medium
188,Dell,3,Full HD,1,1,7,15.598425196850393,0.9310344827586208,16,256,5.0714999999999995,1501,Low
189,Acer,3,IPS Panel,2,1,3,14.0,0.8275862068965517,4,128,3.9690000000000003,808,Low
190,Dell,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.777100000000001,1251,Low
191,Dell,3,Full HD,1,1,3,15.598425196850393,0.6896551724137931,8,256,4.41,939,Low
192,HP,5,Full HD,3,1,7,15.598425196850393,0.9655172413793103,8,256,6.9237,2623,Medium
193,Asus,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,5.22585,1396,Low
194,Dell,4,Full HD,2,1,5,13.299212598425196,0.8620689655172414,8,256,2.84445,1904,Medium
195,Samsung,4,Full HD,2,1,5,13.299212598425196,0.8620689655172414,8,256,1.7860500000000001,1904,Medium
196,Dell,3,Full HD,1,1,5,15.598425196850393,0.8620689655172414,8,256,4.806900000000001,1003,Low
197,Lenovo,4,Full HD,2,1,7,14.0,0.9310344827586208,8,256,2.9106,2361,Medium
198,MSI,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.292,1523,Low
199,Acer,3,IPS Panel,2,1,3,14.0,0.8275862068965517,8,128,3.3075,786,Low
200,Lenovo,3,Full HD,2,1,5,14.0,0.793103448275862,8,256,3.7485,1507,Low
201,Lenovo,3,IPS Panel,2,1,5,14.0,0.896551724137931,8,256,2.9106,2096,Medium
202,Dell,3,Full HD,1,1,7,15.598425196850393,0.9310344827586208,4,256,4.806900000000001,939,Low
203,Lenovo,4,IPS Panel,3,1,7,14.0,0.9655172413793103,8,256,4.3218,2417,Medium
204,Asus,3,IPS Panel,3,1,7,15.0,0.9310344827586208,8,256,5.0714999999999995,1000,Low
205,Dell,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,128,4.1895,1200,Low
206,HP,3,Full HD,1,1,5,15.598425196850393,0.896551724137931,8,256,4.0572,1714,Medium
207,Toshiba,3,Full HD,2,1,5,13.299212598425196,0.8620689655172414,4,128,2.3152500000000003,1632,Medium
208,Acer,3,IPS Panel,2,1,5,14.0,0.8620689655172414,8,256,3.4398000000000004,1146,Low
209,Toshiba,3,IPS Panel,2,1,7,15.0,0.9310344827586208,8,256,4.41,1763,Medium
210,Samsung,4,Full HD,3,1,7,15.0,0.9310344827586208,16,256,2.71215,2349,Medium
211,Dell,4,Full HD,2,1,7,12.5,0.9655172413793103,8,256,3.5280000000000005,2147,Medium
212,Xiaomi,4,IPS Panel,3,1,5,13.000000000000002,0.793103448275862,8,256,2.8224,1188,Low
213,HP,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,4,256,4.498200000000001,1066,Low
214,HP,3,Full HD,2,1,5,14.0,0.8620689655172414,4,128,4.29975,1607,Low
215,Samsung,4,Full HD,2,1,7,15.0,0.9310344827586208,8,256,2.57985,2158,Medium
216,Lenovo,4,IPS Panel,2,1,5,14.0,0.8620689655172414,8,256,2.9106,2285,Medium
217,Toshiba,3,Full HD,2,1,5,13.299212598425196,0.8620689655172414,8,256,2.3152500000000003,1874,Medium
218,Dell,3,Full HD,2,1,5,14.0,0.9655172413793103,8,256,3.5280000000000005,1531,Low
219,Lenovo,3,Full HD,3,1,7,15.598425196850393,0.9310344827586208,6,256,4.851000000000001,1002,Low
220,HP,3,Full HD,3,1,7,15.598425196850393,0.9310344827586208,8,256,4.498200000000001,1294,Low
221,Lenovo,3,Full HD,2,1,5,13.299212598425196,0.8620689655172414,4,128,3.1752,1119,Low
222,HP,3,Full HD,2,1,5,13.299212598425196,0.8620689655172414,8,256,3.28545,1219,Low
223,HP,4,Full HD,1,1,7,15.598425196850393,0.8620689655172414,8,256,4.0572,1648,Medium
224,Toshiba,3,IPS Panel,3,1,7,15.0,0.896551724137931,16,256,5.292,2509,Medium
225,Lenovo,4,IPS Panel,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2096,Medium
226,HP,3,Full HD,2,1,5,15.598425196850393,0.793103448275862,8,256,5.0935500000000005,1480,Low
227,Toshiba,3,IPS Panel,2,1,5,14.0,0.793103448275862,4,128,3.24135,1404,Low
228,HP,2,Full HD,2,1,5,12.5,0.793103448275862,8,256,2.7783,2120,Medium
229,Dell,4,Full HD,2,1,5,14.0,0.8620689655172414,8,256,2.9988,2082,Medium
230,Dell,4,Full HD,2,1,5,,0.8620689655172414,8,256,2.9988,1870,Medium
231,Dell,4,Full HD,2,1,7,14.0,0.9655172413793103,8,256,2.9988,2255,Medium
232,Toshiba,3,Full HD,2,1,5,13.299212598425196,0.793103448275862,8,256,2.646,1855,Medium
233,Lenovo,4,IPS Panel,2,1,7,14.0,0.896551724137931,8,256,3.7485,1891,Medium
234,Toshiba,3,Full HD,2,1,5,13.299212598425196,0.8275862068965517,8,256,2.646,1950,Medium
235,Lenovo,4,IPS Panel,2,1,5,12.0,0.896551724137931,8,256,2.9988,2236,Medium
236,Lenovo,3,Full HD,3,1,5,15.598425196850393,0.8620689655172414,6,256,5.292,883,Low
237,Toshiba,3,Full HD,2,1,5,14.0,0.793103448275862,8,256,4.29975,1499,Low
